Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
215 W Mercer St,Medic Response,02/26/2019 04:30:29 PM,47.624593,-122.359508,POINT (-122.359508 47.624593),F190020320
400 S Jackson St,4RED - 2 + 1 + 1,02/26/2019 04:32:50 PM,47.599197,-122.32896799999999,POINT (-122.328968 47.599197),F190020321
Seward Park Av S / S Henderson St,"Medic Response, 6 per Rule",02/26/2019 04:47:50 PM,47.523293,-122.264555,POINT (-122.264555 47.523293),F190020323
8815 Seward Park Av S,"Medic Response, 6 per Rule",02/26/2019 04:48:20 PM,47.52412,-122.26461100000002,POINT (-122.264611 47.52412),F190020324
3005 Rainier Av S,Aid Response,02/26/2019 05:00:41 PM,47.576907,-122.297049,POINT (-122.297049 47.576907),F190020326
534 15th Av E,Aid Response,02/26/2019 05:00:48 PM,47.623596,-122.312618,POINT (-122.312618 47.623596),F190020327
9203 12th Av Ne,Aid Response,02/26/2019 05:02:15 PM,47.695825,-122.314853,POINT (-122.314853 47.695825),F190020328
2901 Western Av,Aid Response,02/26/2019 05:01:23 PM,47.616253,-122.353366,POINT (-122.353366 47.616253),F190020329
22nd Av S / S Jackson St,Aid Response,02/26/2019 05:03:05 PM,47.599275,-122.303285,POINT (-122.303285 47.599275),F190020331
655 S Jackson St,Aid Response,02/26/2019 05:04:14 PM,47.599191,-122.324919,POINT (-122.324919 47.599191),F190020332
2116 N 112th St,Alarm Bell,02/26/2019 05:06:04 PM,47.709569,-122.333822,POINT (-122.333822 47.709569),F190020333
4612 25TH AV NE,Aid Response,02/26/2019 05:11:43 PM,47.662465999999995,-122.30090700000001,POINT (-122.300907 47.662466),F190020335
325 9th Av,Medic Response,02/26/2019 05:13:55 PM,47.603588,-122.322949,POINT (-122.322949 47.603588),F190020336
13280 Linden Av N,Aid Response,02/26/2019 05:15:23 PM,47.72526,-122.34790100000001,POINT (-122.347901 47.72526),F190020337
Ne 55th St / 11th Av Ne,MVI - Motor Vehicle Incident,02/26/2019 05:18:41 PM,47.66857,-122.316286,POINT (-122.316286 47.66857),F190020338
11th Av Ne / Ne 55th St,MVI - Motor Vehicle Incident,02/26/2019 05:18:38 PM,47.66857,-122.316286,POINT (-122.316286 47.66857),F190020340
E Denny Way / Broadway,Aid Response,02/26/2019 05:22:51 PM,47.61874,-122.320854,POINT (-122.320854 47.61874),F190020341
500 5th Av,Medic Response,02/26/2019 05:24:09 PM,47.602985,-122.328535,POINT (-122.328535 47.602985),F190020342
11732 Greenwood Av N,Water Job Minor,02/26/2019 05:29:11 PM,47.714348,-122.35551699999999,POINT (-122.355517 47.714348),F190020343
1200 University St,Medic Response,02/26/2019 05:37:35 PM,47.611943,-122.32598700000001,POINT (-122.325987 47.611943),F190020345
10049 College Way N,Aid Response,02/26/2019 05:54:18 PM,47.701741999999996,-122.335029,POINT (-122.335029 47.701742),F190020347
